timestamp_issued,response_id,sample_index,model,tag,latency_ns,latency_ms
1770976571.445247,2149470682368,138,resnet,1,517745400,517.7454000004218
1770976571.5386922,2149470683856,97,yolo,1,517861000,517.8610000002664
1770976571.7265344,2149470682608,394,yolo,2,504403700,504.40370000433177
1770976571.9268227,2149470682032,117,resnet,1,518352500,518.3525000029476
1770976572.1129544,2149470683328,63,resnet,3,518015100,518.0151000022306
1770976572.2049172,2149470682656,369,resnet,3,506380399,506.38039999466855
1770976572.266797,2149470684576,346,yolo,3,517830500,517.830500000855
1770976572.2978191,2149470683424,266,bert,3,505594999,505.5949999950826
1770976572.2997444,2149470684144,25,yolo,2,515895100,515.8951000048546
1770976572.329351,2149470683808,263,bert,3,517957599,517.9575999936787
1770976572.3929899,2149470682080,44,bert,3,517206999,517.2069999971427
1770976572.5630445,2149470684048,367,yolo,2,503567699,503.56769999780226
1770976572.6247551,2149470682512,484,yolo,3,517297999,517.2979999988456
1770976572.6853967,2149470683616,68,bert,2,516789399,516.7893999969237
1770976572.8542967,2149470683904,467,bert,1,519232700,519.2327000040677
1770976572.901361,2149470684096,434,bert,2,517131700,517.131700005848
1770976573.0089812,2149470684192,37,yolo,2,518057699,518.0576999991899
1770976573.0565097,2149470684240,403,yolo,3,505479799,505.47979999828385
1770976573.3706107,2149470684624,76,yolo,2,507599900,507.59990000369726
1770976573.3845544,2149470684288,367,yolo,3,516756600,516.7566000018269
1770976573.5870101,2149470684672,182,bert,1,518386700,518.3867000014288
1770976573.6496613,2149470684720,120,resnet,1,517454699,517.4546999987797
1770976573.805591,2149470685200,455,bert,1,517213300,517.2133000014583
1770976573.883956,2149470687984,51,resnet,2,517092900,517.0929000014439
1770976573.9934528,2149470686160,296,bert,1,517478100,517.4781000023359
1770976574.1179092,2149470687888,309,resnet,1,504910800,504.91080000210786
1770976574.2102137,2149470685008,69,resnet,1,517685699,517.6856999969459
1770976574.2893353,2149470685440,407,bert,3,518253400,518.2534000050509
1770976574.429767,2149470686928,390,resnet,2,517884100,517.8841000015382
1770976574.4460013,2149470686976,192,resnet,2,517453699,517.4536999984412
1770976574.508309,2149470685248,288,resnet,2,505835399,505.83539999934146
1770976574.5232813,2149470684960,180,resnet,2,517414800,517.4148000005516
1770976574.6627715,2149470686208,46,yolo,1,517815800,517.8158000053372
1770976574.6929245,2149470687936,140,bert,1,505371300,505.3713000015705
1770976574.6948442,2149470685056,268,yolo,1,515457600,515.4576000059023
1770976574.739907,2149470685488,87,resnet,2,517648699,517.648699998972
1770976574.7555904,2149470687024,142,yolo,3,517349900,517.3499000011361
1770976574.7875094,2149470687840,416,bert,3,504208199,504.20819999999367
1770976574.8338182,2149470686256,87,resnet,1,517564300,517.564300003869
1770976575.067126,2149470685296,472,yolo,1,517720800,517.7208000022802
1770976575.1288235,2149470687072,237,resnet,3,518173300,518.1733000063105
1770976575.2220378,2149470685344,347,bert,2,518883000,518.8830000042799
1770976575.4422996,2149470685536,376,yolo,2,518201200,518.2012000004761
1770976575.4577043,2149470687120,39,resnet,1,519206299,519.206299999496
1770976575.8187966,2149470685392,31,yolo,3,518038599,518.0385999992723
1770976575.9131064,2149470685104,371,bert,3,518080200,518.080200003169
1770976575.9287264,2149470686304,443,bert,2,517158499,517.1584999989136
1770976575.9747787,2149470685152,126,resnet,2,505646400,505.6464000008418
1770976576.1154423,2149470685584,46,yolo,2,517673100,517.6731000028667
1770976576.2078245,2149470685632,495,resnet,1,517741999,517.7419999963604
1770976576.2551286,2149470687168,181,yolo,2,506032299,506.03229999978794
1770976576.2571483,2149470685680,111,resnet,1,514136199,514.1361999994842
1770976576.3639014,2149470686352,63,resnet,1,517123800,517.1238000039011
1770976576.6755633,2149470685728,236,bert,2,517272599,517.2725999946124
1770976576.784361,2149470687216,192,resnet,3,504785799,504.7857999961707
1770976576.8770103,2149470685776,119,bert,3,505383700,505.38370000140276
1770976577.4200916,2149470685824,496,yolo,2,517587800,517.5878000009106
1770976577.4977312,2149470686400,327,resnet,2,518020000,518.0200000031618
1770976577.5601747,2149470685872,318,resnet,3,517152599,517.1525999976438
1770976577.6225877,2149470685968,301,yolo,3,517732100,517.7321000010124
1770976577.715164,2149470686880,143,bert,3,518581000,518.5810000039055
1770976577.7621653,2149470686016,102,resnet,3,517339100,517.3391000062111
1770976577.8725567,2149470685920,236,bert,2,516946700,516.9467000014265
1770976577.9187589,2149470687264,83,bert,1,516967800,516.9678000020212
1770976578.05904,2149470686064,338,bert,2,518243899,518.2438999981969
1770976578.3550901,2149470686112,150,resnet,3,517204899,517.2048999957042
1770976578.4641387,2149470687552,288,resnet,3,518233899,518.2338999948115
1770976578.4652264,2149470687696,81,resnet,3,517159399,517.1593999984907
1770976578.5734484,2149470686448,242,bert,2,516867100,516.8671000064933
1770976578.6809208,2149470687312,10,yolo,3,518203400,518.2034000026761
1770976579.0354962,2149470686496,313,yolo,2,517553400,517.5534000009065
1770976579.2538116,2149470687504,421,yolo,1,516818500,516.8185000002268
1770976579.3162436,2149470686736,359,bert,2,506320100,506.3201000011759
1770976579.319177,2149470686544,413,bert,2,528419700,528.4197000000859
1770976579.394853,2149470686592,195,resnet,2,503421800,503.4218000000692
1770976579.3928585,2149470687408,432,resnet,1,504834400,504.8344000024372
1770976579.4409554,2149470687360,440,bert,2,518064400,518.0644000065513
1770976579.8322463,2149470686640,61,yolo,3,504703800,504.70380000479054
1770976579.8799016,2149470687456,86,bert,1,517561799,517.5617999993847
1770976579.9423268,2149470687600,340,yolo,3,518322700,518.3227000015904
