timestamp_issued,response_id,sample_index,model,tag,kserve,latency_ns,latency_ms
1770993749.2091854,2389969915008,138,resnet,2,False,520360399,520.360399998026
1770993749.5240984,2389969913760,97,yolo,2,False,517232600,517.2326000028988
1770993750.1436954,2389969914768,394,yolo,2,False,519517000,519.5170000006328
1770993750.7874925,2389969913088,117,resnet,2,False,507268900,507.2689000007813
1770993751.4107895,2389969915104,63,resnet,2,False,517123500,517.1235000016168
1770993751.7362146,2389969912896,369,resnet,3,False,505236899,505.23689999681665
1770993751.9079301,2389969914336,346,yolo,1,False,517058800,517.0588000037242
1770993752.0184882,2389969912416,266,bert,1,False,517451300,517.4513000019942
1770993752.0340476,2389969913424,25,yolo,3,False,517004100,517.004100001941
1770993752.141133,2389969913952,263,bert,1,False,518171399,518.1713999991189
1770993752.361138,2389969914000,44,bert,2,False,504121999,504.1219999984605
1770993752.920582,2389969913712,367,yolo,3,False,517376499,517.3764999999548
1770993753.1386724,2389969912368,484,yolo,1,False,518043399,518.043399999442
1770993753.3100603,2389969914864,68,bert,2,False,517169600,517.169600003399
1770993753.8996527,2389969912272,467,bert,3,False,516645899,516.6458999956376
1770993754.0393467,2389969914384,434,bert,2,False,518394800,518.3948000048986
1770993754.3833861,2389969912128,37,yolo,3,False,518240400,518.24040000065
1770993754.946049,2389969914288,138,resnet,2,False,514363299,514.3632999970578
1770993755.0516062,2389969912992,97,yolo,3,False,518455199,518.4551999991527
1770993755.237858,2389969913232,394,yolo,1,False,517015999,517.015999997966
1770993755.4250903,2389969913088,117,resnet,3,False,516709199,516.7091999974218
1770993755.6102364,2389969913568,63,resnet,2,False,516694400,516.6944000011426
1770993755.7059925,2389969914912,369,resnet,2,False,517019899,517.0198999985587
1770993755.766001,2389969913328,346,yolo,1,False,517262800,517.2628000000259
1770993755.7984061,2389969912704,266,bert,3,False,504166600,504.1666000033729
1770993755.7994204,2389969914336,25,yolo,2,False,515564100,515.5641000019386
1770993755.830132,2389969912272,263,bert,1,False,517226600,517.2266000008676
1770993755.8913777,2389969912608,44,bert,1,False,517674600,517.6746000070125
1770993756.061878,2389969913424,367,yolo,3,False,516830599,516.8305999977747
1770993756.1238039,2389969913184,484,yolo,1,False,516919699,516.919699999562
1770993756.18487,2389969914864,68,bert,2,False,518121999,518.1219999940367
1770993756.3555086,2389969912896,467,bert,3,False,516979799,516.9797999988077
1770993756.4032922,2389969914528,434,bert,3,False,518043399,518.043399999442
1770993756.5125012,2389969912464,37,yolo,1,False,517662700,517.6627000037115
1770993756.5583584,2389969914240,403,yolo,2,False,517068900,517.068900000595
1770993756.8707027,2389969913280,76,yolo,1,False,516941299,516.941299996688
1770993756.8857265,2389969915104,367,yolo,3,False,516607899,516.6078999973251
1770993757.088532,2389969914096,182,bert,1,False,516977200,516.9772000008379
1770993757.1510303,2389969913760,120,resnet,3,False,517134699,517.1346999995876
1770993757.3077283,2389969912800,455,bert,2,False,518349600,518.3496000026935
1770993757.388249,2389969914720,51,resnet,1,False,517947200,517.9472000017995
1770993757.496865,2389969914576,296,bert,1,False,517885499,517.8854999976465
1770993757.6207762,2389969912944,309,resnet,1,False,517573200,517.5732000061544
1770993757.7135491,2389969913376,69,resnet,2,False,517632800,517.6328000015928
1770993757.791314,2389969914144,407,bert,3,False,517166899,517.1668999973917
1770993757.9299843,2389969913808,390,resnet,1,False,516567999,516.5679999990971
1770993757.9457965,2389969913520,192,resnet,1,False,516442500,516.4425000039046
1770993758.00755,2389969913904,288,resnet,1,False,516756600,516.7566000018269
1770993758.0224195,2389969913856,180,resnet,1,False,517197000,517.1970000010333
1770993758.1608255,2389969913952,46,yolo,3,False,516751900,516.7519000024186
1770993758.1925857,2389969913472,140,bert,2,False,505600699,505.6006999948295
1770993758.1936204,2389969914000,268,yolo,1,False,514611099,514.6110999994562
1770993758.2392676,2389969914048,87,resnet,2,False,517684300,517.6843000008375
1770993758.254331,2389969914768,142,yolo,1,False,517422099,517.4220999979298
1770993758.2860339,2389969912848,416,bert,1,False,516828400,516.8284000028507
1770993758.330621,2389969914384,87,resnet,2,False,504920100,504.9201000001631
1770993758.564731,2389969914192,472,yolo,2,False,504855699,504.85569999727886
1770993758.6277544,2389969912080,237,resnet,1,False,517703599,517.7035999950022
1770993758.7219868,2389969914960,347,bert,2,False,516421600,516.4216000048327
1770993758.9562294,2389969915008,376,yolo,1,False,505189999,505.18999999621883
1770993758.9582593,2389969912128,39,resnet,3,False,514959500,514.9595000038971
1770993759.3140764,2389969912176,31,yolo,2,False,506428000,506.4280000005965
1770993759.4235194,2389969912224,371,bert,3,False,517795700,517.795700005081
1770993759.4389184,2389969912368,443,bert,3,False,516848999,516.8489999996382
1770993759.4852688,2389969912416,126,resnet,3,False,517813700,517.8137000038987
1770993759.625325,2389969915200,46,yolo,3,False,517509800,517.5098000036087
1770993759.7187996,2389969915968,495,resnet,1,False,518638599,518.6385999986669
1770993759.7506788,2389969915872,111,resnet,3,False,517565800,517.5658000007388
1770993759.74968,2389969916016,181,yolo,2,False,519018499,519.0184999955818
1770993759.8583255,2389969915584,63,resnet,1,False,516840500,516.8405000003986
1770993760.1833134,2389969915440,236,bert,2,False,517863499,517.8634999974747
1770993760.7496767,2389969912656,138,resnet,1,False,515409899,515.4098999992129
1770993760.808096,2389969914528,97,yolo,1,False,517172499,517.1724999963772
1770993760.9014447,2389969913712,394,yolo,2,False,518246200,518.2462000011583
1770993760.9964182,2389969914240,117,resnet,2,False,504319100,504.3191000004299
1770993761.0885968,2389969914288,63,resnet,2,False,518092099,518.092099999194
1770993761.135398,2389969912800,369,resnet,3,False,517644299,517.6442999945721
1770993761.1662543,2389969915104,346,yolo,1,False,517456599,517.4565999986953
1770993761.182531,2389969912176,266,bert,3,False,517222099,517.2220999957062
1770993761.1841164,2389969914000,25,yolo,2,False,515818100,515.8181000006152
1770993761.1984136,2389969914720,263,bert,2,False,517368399,517.3683999964851
1770993761.2282953,2389969913472,44,bert,3,False,518023500,518.0235000007087
1770993761.3056962,2389969912080,367,yolo,3,False,517697600,517.6976000002469
1770993761.353017,2389969913088,484,yolo,1,False,517737800,517.7378000007593
1770993761.3690195,2389969913424,68,bert,3,False,504179000,504.17900000320515
1770993761.4607308,2389969914048,467,bert,3,False,517454199,517.4541999949724
1770993761.4764283,2389969912416,434,bert,3,False,516888700,516.8887000036193
1770993761.5385573,2389969913376,37,yolo,2,False,517769300,517.7693000005092
1770993761.553774,2389969913280,403,yolo,3,False,516352999,516.3529999990715
1770993761.708162,2389969914336,76,yolo,1,False,517642200,517.6422000004095
1770993761.7237175,2389969913808,367,yolo,1,False,516796600,516.7966000008164
1770993761.8183925,2389969913568,182,bert,3,False,518019399,518.0193999985931
1770993761.848626,2389969913616,120,resnet,3,False,518083700,518.0837000007159
1770993761.9425719,2389969915008,455,bert,3,False,517845800,517.8458000009414
1770993761.9740787,2389969913520,51,resnet,1,False,517308200,517.3082000037539
1770993762.0361042,2389969914576,296,bert,3,False,516842999,516.842999997607
1770993762.098395,2389969912704,309,resnet,2,False,517756999,517.7569999941625
1770993762.145392,2389969912224,69,resnet,2,False,517612399,517.6123999990523
1770993762.1752837,2389969912272,407,bert,1,False,517615299,517.6152999993064
1770993762.2551327,2389969912608,192,resnet,1,False,515783100,515.7831000033184
1770993762.2531877,2389969914672,390,resnet,3,False,517304699,517.304699998931
1770993762.2837794,2389969913856,288,resnet,1,False,517194599,517.1945999973104
1770993762.298877,2389969913904,180,resnet,2,False,517281299,517.2812999953749
1770993762.361121,2389969914960,46,yolo,2,False,505361799,505.3617999947164
1770993762.376402,2389969913952,140,bert,3,False,504363200,504.363200001535
1770993762.3773005,2389969912848,268,yolo,2,False,503773800,503.77380000281846
1770993762.407674,2389969914144,87,resnet,2,False,505278099,505.2780999976676
1770993762.4085908,2389969912320,142,yolo,3,False,517080799,517.08079999662
1770993762.4230187,2389969914768,416,bert,3,False,517263900,517.2639000011259
1770993762.4385397,2389969914864,87,resnet,2,False,517453699,517.4536999984412
1770993762.5618317,2389969912896,472,yolo,1,False,517827800,517.8278000021237
1770993762.592103,2389969914912,237,resnet,2,False,517753699,517.7536999981385
1770993762.6389434,2389969912944,347,bert,1,False,517735900,517.7359000008437
1770993762.7622378,2389969912992,376,yolo,2,False,505448500,505.4485000000568
1770993762.7641141,2389969913040,39,resnet,2,False,516205100,516.2051000006613
