batch_size,avg_ms,std_ms
1,8.246633475646377,0.8716787468820307
2,11.462888389942236,0.28661408944258693
3,17.323675542720594,0.5337974021561825
4,21.898354774457403,0.6993147385274869
5,24.447426904225722,0.7253163555935082
6,31.73325604700949,1.0795866303737163
7,35.15463476651348,1.2642222216397363
8,38.13408321060706,1.3069526415745605
9,41.208829482784495,1.1833736003731763
10,43.93826806801371,1.257471074978979
11,56.04731973959133,1.391398781598626
12,58.104409208172,1.7621226444047875
13,61.60970999102574,1.9392307332107925
14,66.17567176406737,2.151927259314923
15,69.4030814425787,1.9601764406669402
16,72.24526584672276,2.0478207820173755
