batch_size,avg_ms,std_ms
1,237.2550195635995,18.192037740585842
2,421.9948221981758,10.035095152280253
3,603.5231300926534,8.509078162463627
4,819.2268781497842,7.5908077331152715
5,994.7508392907912,11.447769515261216
6,1166.6565612296108,16.191483059905615
7,1377.1129465318518,14.596561224001318
8,1556.0468222294003,19.90271282500917
9,1734.7699852491496,17.323615697121735
10,1912.3089178209193,18.224588532444812
11,2132.3021485394565,23.137275577888026
12,2320.7114809879567,26.25371248918699
13,2492.5339646532666,26.336932218315432
14,2682.0529527170584,21.26529753672831
15,2898.9826056314632,16.177127029235958
16,3080.6362476741197,24.62376736761656
