batch_size,avg_ms,std_ms
1,5.928394777001813,7.387413228596053
2,8.176392561290413,1.107647423134557
3,10.481536789448,1.3807592419883292
4,13.227162248222157,1.1154571954803476
5,15.89378287375439,1.6940178355814168
6,17.481178253656253,1.4127580913086797
7,19.907314392039552,1.9857429854633635
8,20.85763896116987,1.8813705059165835
9,22.549070271197706,1.8666507553107472
10,23.552854267763905,2.0281457143017083
11,25.929519621422514,2.2357438081477605
12,27.178253140300512,1.8820930558228215
13,28.74768900917843,2.8962065521653053
14,31.528671762207523,3.143673786992412
15,31.677562515833415,2.9761164910279914
16,33.21271640073974,3.153383867666765
