batch_size,total_images,wall_sec,throughput_img_per_sec
1,9121,60.0,152.01666666666668
2,13598,60.0,226.63333333333333
3,13275,60.0,221.25
4,14100,60.0,235.0
5,16215,60.0,270.25
6,14718,60.0,245.3
7,15078,60.0,251.3
8,15520,60.0,258.6666666666667
9,16479,60.0,274.65
10,17430,60.0,290.5
11,14300,60.0,238.33333333333334
12,15048,60.0,250.8
13,15366,60.0,256.1
14,15526,60.0,258.76666666666665
15,16140,60.0,269.0
16,16368,60.0,272.8
