batch_size,total_images,wall_sec,throughput_img_per_sec
1,351,60.0,5.85
2,388,60.0,6.466666666666667
3,399,60.0,6.65
4,388,60.0,6.466666666666667
5,405,60.0,6.75
6,408,60.0,6.8
7,399,60.0,6.65
8,408,60.0,6.8
9,405,60.0,6.75
10,420,60.0,7.0
11,407,60.0,6.783333333333333
12,408,60.0,6.8
13,416,60.0,6.933333333333334
14,420,60.0,7.0
15,405,60.0,6.75
16,416,60.0,6.933333333333334
