batch_size,latency_ms
1,103.15777396317571
1,56.74810102209449
1,55.357806966640055
1,55.12987996917218
1,54.970081022474915
1,55.459464027080685
1,53.6129450192675
1,52.587537036743015
1,55.20238698227331
1,55.1412429776974
1,54.07480796566233
1,55.695065995678306
1,53.2299560145475
1,53.15786600112915
1,55.737901013344526
1,54.25953003577888
1,53.39995201211423
1,54.97648601885885
1,53.311562980525196
1,53.14168200129643
1,54.51465200167149
1,53.17598400870338
1,55.37653702776879
1,54.87889202777296
1,54.690320044755936
1,52.75301996152848
1,55.459384981077164
1,53.24085598113015
1,54.958424996584654
1,55.367872992064804
1,53.38047898840159
1,54.48690697085112
1,57.19428800512105
1,53.984906000550836
1,53.55822900310159
1,55.98174803890288
1,53.2526969909668
1,53.16965695237741
1,56.344332988373935
1,54.14179799845442
1,53.78281697630882
1,55.208250996656716
1,53.02025697892532
1,53.51487401640043
1,57.81115498393774
1,54.399010026827455
1,54.022190044634044
1,56.08055496122688
1,53.03800699766725
1,53.598478029016405
1,56.3138360157609
1,56.05424102395773
1,53.45061101252213
1,57.07774602342397
1,53.28048503724858
1,54.334869026206434
1,57.29373899521306
1,53.155889036133885
1,55.08531699888408
1,56.21821997920051
1,55.50578801194206
1,56.14766100188717
1,57.91745102033019
1,54.433393001090735
1,56.4802159788087
1,55.76140305493027
1,54.83604996697977
1,53.049367968924344
1,53.73324500396848
1,57.07884801086038
1,55.545593961142
1,54.48922899086028
1,54.741147032473236
1,55.11770199518651
1,53.173521999269724
1,54.17243699776009
1,54.867774015292525
1,54.32781402487308
1,53.61317499773577
1,55.12943601934239
1,53.21723798988387
1,53.995305963326246
1,55.063044012058526
1,55.137581017334014
1,53.47456899471581
1,56.058606947772205
1,52.598968031816185
1,54.1628539795056
1,57.19570501241833
1,55.088933964725584
1,55.56375003652647
1,55.313521006610245
1,53.74504695646465
1,54.17647596914321
1,55.88788300519809
1,54.10057498374954
1,53.51727595552802
1,55.36672502057627
1,53.57092700432986
1,53.65781398722902
2,109.20862801140174
2,106.69412498828024
2,104.92831701412797
2,103.76342805102468
2,103.2580150058493
2,104.72154000308365
2,105.5134289781563
2,102.38622600445524
2,101.2532869935967
2,104.06228405190632
2,107.15411300770938
2,104.24943902762607
2,103.80149399861693
2,104.78299000533298
2,105.81849800655618
2,103.17825805395842
2,101.60855896538123
2,104.63215899653733
2,105.37080402718857
2,101.04977298760787
2,101.43437300575897
2,103.09010202763602
2,101.66652698535472
2,104.08904001815245
2,104.90459098946303
2,105.00270297052339
2,102.7974440366961
2,104.21449301065877
2,105.27713497867808
2,102.22160199191421
2,100.61029199277982
2,103.03323302650824
2,103.05991000495851
2,103.52194600272924
2,102.8608120395802
2,103.32603502320126
2,105.57814501225948
2,100.85871996125206
2,104.44529401138425
2,103.50400203606114
2,103.68604096584022
2,103.29187696333975
2,106.40425398014486
2,103.73425902798772
2,104.16183498455212
2,103.17466204287484
2,108.0426590051502
2,100.72621703147888
2,102.00758499559015
2,105.54080101428553
2,103.10125001706183
2,103.62884000642225
2,106.11399199115112
2,102.46167599689215
2,104.85711600631475
2,102.77600400149822
2,101.6554159577936
